Entidad,Proveedor,Valor (COP),Fecha del Proceso,Año
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,EYL SAS,20000000.0,2025-04-11,2025.0
INSTITUTO UNIVERSITARIO DE LA PAZ,PROMOARTICULOS,12614000.0,2023-11-08,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,15150000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,3070000.0,2019-06-26,2019.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,ESTACION DE SERVICIOS SAN SILVESTRE SA,6329000.0,2019-03-22,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,1600000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,9000000.0,2021-05-24,2021.0
INSTITUTO UNIVERSITARIO DE LA PAZ,CLAUDIA CECILIA JACOME RANGEL,52275700.0,2022-01-19,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,CONSCICOL SAS,36356713.0,2024-07-04,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,11100000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,28020000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,3500000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,GRUPO EMPRESARIAL CREAR DE COLOMBIA S.A.S.,878400.0,2019-06-06,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,112187435.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,46919337.0,2023-08-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,8791200.0,2020-08-10,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSORCIO HG 2025,111190802.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CENTRO DE ALTA TECNOLOGIA,11954040.0,2018-12-10,2018.0
INSTITUTO UNIVERSITARIO DE LA PAZ,UT. AUDITORIO UNIPAZ,347636440.0,2024-09-05,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,14480334.0,2020-04-27,2020.0
PSS S.A.,PEDRO HARRYSON AMAYAAREVALO,4200000.0,2022-09-26,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANDESOL S.A E.S.P,4000000.0,2023-06-23,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,OPERADORES E INVERSIONISTAS DE COLOMBIA SAS,43715250.0,2025-05-21,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,JAIRO OSORIO CABALLERO,140552646.0,2022-07-13,2022.0
PSS S.A.,HECTOR MANUEL MORA CADAVID,4200000.0,2022-09-26,2022.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO TAEKWONDO NUEVA GENERACION,6000000.0,2018-01-29,2018.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,GRUPO DE NEGOCIOS EMPRESARIAL LOGISTICO DE COLOMBIA SAS,25000000.0,2025-04-21,2025.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,SEGURIDAD PLATINUM LTDA,27904651.0,2022-01-25,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,11000000.0,2024-07-23,2024.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,ESTACION DE SERVICIOS SAN SILVESTRE,15000000.0,2023-02-23,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,29000000.0,2025-07-01,2025.0
INSTITUTO UNIVERSITARIO DE LA PAZ,CLAUDIA CECILIA JACOME RANGEL,142973264.0,2024-05-30,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CRECER,428848875.0,2025-04-16,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,11350000.0,2023-07-27,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,BESTEK SAS,24730000.0,2023-06-01,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,6000000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,2650000.0,2019-06-26,2019.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,FUNDACION CAMINOS ABIERTOS,200000000.0,2023-08-31,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSORCIO HG 2025,7000000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,AVANZAR MULTISERVICIOS SAS,54681970.0,2023-08-04,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,63643613.0,2021-06-22,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,2840000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,11000000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,4350000.0,2023-07-27,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CRECER,656390500.0,2024-11-01,2024.0
PSS S.A.,EDWIN ENRIQUE HERRERA CRUZ,3750000.0,2022-08-12,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ECI S.A.,88856056.0,2020-05-21,2020.0
INSTITUTO UNIVERSITARIO DE LA PAZ,UT. ZONAS DEPORTIVAS,224324870.0,2024-12-10,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",ESTACION DE SERVICIO EL NOGAL SAS,26735520.0,2022-05-06,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,FONDO DE EMPLEADOS DEL INSTITUTO UNIVERSITARIO DE LA PAZ LIMITADA - FEDUPAZ LTDA,523975142.0,2023-03-31,2023.0
PSS S.A.,ALBA LUCIA VEGA HERNANDEZ,5000000.0,2022-09-26,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CONSTRUCTORA Y CONSULTORA PROBCI SAS,12936796.0,2024-09-27,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VALENTUS SAS,5000000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,AGROFUMIGACION INDUSTRIAL S.A.S.,21356400.0,2024-09-06,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,46919337.0,2023-08-02,2023.0
PSS S.A.,DANIEL ENRIQUE BENITEZ NOCHES,4200000.0,2022-09-27,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,11442700.0,2022-09-29,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,PABLO VICENTE MEDINA ALONSO,2650000.0,2019-06-26,2019.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,SEGUROS DEL ESTADO S.A.,61595228.0,2024-09-11,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SOLUCIONES MUNDO VERDE SAS,6263081.0,2021-08-02,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,19596000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CENTRAL DE HERRAMIENTAS DE COLOMBIA SAS,63643613.0,2021-06-22,2021.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,LEXA SERVICIOS Y SUMINISTROS SAS,1003148.0,2019-10-18,2019.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CRECER,503205000.0,2023-07-27,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",P&S GESTION INTEGRAL SHI SAS,1537700.0,2021-12-09,2021.0
PSS S.A.,CAROL LISSETH MEJIA PEREZ,3990000.0,2022-11-03,2022.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,JAIRO ANDRES FERNANDEZ RUEDA Y/O FERNANDEZ RUEDA SERVICIOS,24880000.0,2025-07-28,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,VETERINARIA LA RED S.A.S.,2840000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,5241853.0,2022-12-16,2022.0
CONCEJOBARRANCA,DISTRILIBROS J.E.C. LIBRERIA,26454630.0,2023-03-10,2023.0
INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR CRISTO REY,SERVICIVIL SAS,58548941.0,2023-10-10,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,32890000.0,2024-07-23,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CRECER,77507000.0,2023-11-29,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,TRANSFORMADORES GVR ENERGY SAS,60223747.0,2022-12-06,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,24403926.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,18000000.0,2023-07-27,2023.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,SERVICIVIL SAS,61880000.0,2024-12-10,2024.0
PSS S.A.,MAURICIO RAFAEL PENA BLANCO,11320000.0,2022-09-28,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,4408117.0,2020-10-01,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ANALIZAR,2599853.0,2024-10-21,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",EMPRESA ASOCIATIVA DE TRABAJO ELECTRICO Y MANTENIMIENTO FUNITEL,35639996.0,2025-06-18,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,4197606.0,2020-11-23,2020.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",NEGOCIOS E INVERSIONES SINGS,14090411.0,2021-08-30,2021.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",SODEIS SAS,380354699.0,2023-05-25,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,5000000.0,2023-12-12,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",TEJEFU,50760000.0,2023-06-05,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,GARNICA INVERSIONES LOGISTICA Y SUMINISTROS S.A.S.,21352508.0,2023-11-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,18000000.0,2023-07-27,2023.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,SOLUCIONES MUNDO VERDE SAS,4941146.0,2024-05-10,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,NANOMETRIX SAS,1820700.0,2020-08-13,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,42810250.0,2019-12-17,2019.0
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,GESTION DE SEGURIDAD ELECTRONICA S.A.,4569600.0,2023-10-12,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,COMRED SAS,6325000.0,2022-08-08,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HUMBERTO RIOCSMPOD FLOREZ,3895500.0,2019-03-18,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SOLUCIONES SCM S.A.S,112187435.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,8250000.0,2023-07-27,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,INGENIERIA Y ALQUILERES MD S.A.S.,1098037432.0,2023-03-03,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,68766101.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,9000000.0,2023-07-27,2023.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",EMPRESA ASOCIATIVA DE TRABAJO ELECTRICO Y MANTENIMIENTO FUNITEL,71045455.0,2024-11-14,2024.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,RECARGAS INKTEC,9000000.0,2024-03-21,2024.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,CLAUDIA CECILIA JACOME RANGEL,9960000.0,2021-12-01,2021.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DELUQUE´S BASKETBALL,59040000.0,2023-05-12,2023.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,ROYAL TECH GROUP SAS (COTIZACIONES@ROYALTECH.GROUP),12700000.0,2023-03-31,2023.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,AUTO FUEL.SAS,29110000.0,2023-05-05,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,68766101.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,16500000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,53977496.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,REPRESENTACIONES GANADERAS LIMITADA REPREGAN LTDA,7064900.0,2023-12-12,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ICCLAB LTDA,9520000.0,2022-10-19,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,LUIS IGNACIO BALAGUERA ORTIZ,19998465.0,2023-07-26,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANISMO NACIONAL DE ACREDITACION DE COLOMBIA - ONAC,17190507.0,2021-12-07,2021.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",ASEGURADORA SOLIDARIA DE COLOMBIA ENTIDAD COOPERATIVA.,19032773.0,2024-10-10,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,AGROFUMIGACION INDUSTRIAL S.A.S.,3823000.0,2023-08-03,2023.0
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,BESTEK SAS,35473900.0,2024-11-06,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,3048185.0,2020-07-14,2020.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MTSCOL,14000000.0,2024-03-04,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,14990000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANISMO NACIONAL DE ACREDITACION DE COLOMBIA - ONAC,21444048.0,2023-07-11,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,7300000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MARQUEZ ASOCIADOS S.A.S.,3500000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MEDIREZ SAS,16950000.0,2023-09-05,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,LA BODEGA ELECTRICA S.A.S,38185618.0,2021-11-24,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,14000000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,11700000.0,2024-07-23,2024.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,59314360.0,2019-12-26,2019.0
PSS S.A.,AGUAPECES SAS,176750502.0,2022-11-17,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,12307263.0,2023-08-02,2023.0
INSTITUTO UNIVERSITARIO DE LA PAZ,INGENIERIA Y ALQUILERES MD S.A.S.,298109360.0,2021-12-27,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,139000000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,MACRORIGAMI SAS,3500000.0,2024-07-23,2024.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CRECER,180300000.0,2023-11-29,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SANTANDEREANA DE QUIMICOS Y REACTIVOS SAS,16500000.0,2023-07-27,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,SUMINISTROS MAYBE SAS,7105000.0,2019-06-26,2019.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CHELL ING,18164085.0,2023-08-02,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,4656470.0,2022-07-05,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,LA PREVISORA S.A. COMPANIA DE SEGUROS,62491989.0,2021-10-05,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,DANIEL TARAZONA,6400000.0,2019-06-26,2019.0
INSTITUTO UNIVERSITARIO DE LA PAZ,ARROW TECHNOLOGY INFORMATION SAS,5355558.0,2023-09-21,2023.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,FUMIGOMEZ,8000000.0,2025-02-25,2025.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CENTROAUTOS LA 10,28356661.0,2023-10-18,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,CSE,3168760.0,2021-04-27,2021.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CLUB DEPORTIVO DE ATLETISMO ATHLETIC BOLT DE BARRANCABERMEJA,12000000.0,2017-08-17,2017.0
PERSONERIA MUNICIPAL DE BARRANCABERMEJA,EDUARDO ENRIQUE DIAZ ACEVEDO,17940191.0,2023-12-14,2023.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,EQUISUMINISTROS Y CONSTRUCCIONES SAS,15445000.0,2025-07-01,2025.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ASOCIACION EMPRENDIMIENTO SOCIAL SOSTENIBLE,41592214.0,2021-05-24,2021.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,ORGANIAGRO SAS,7000000.0,2023-07-27,2023.0
EMPRESA DE DESARROLLO URBANO Y VIVIENDA DE INTERES SOCIAL DE BARRANCABERMEJA,RECARGAS INKTEC,13603730.0,2022-04-29,2022.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CORPORACION JUVENIL DEL MAGDALENA MEDIO EL BUEN SEMBRADOR,307918000.0,2022-07-18,2022.0
"INSTITUTO PARA EL FOMENTO DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE BARRANCABERMEJA",CORPORACION ARTE CULTURA Y CIUDAD,25820000.0,2022-12-09,2022.0
SENA REGIONAL SANTANDER GRUPO ADMINISTRATIVO CIDT,HERRAMIENTAS INDUSTRIALES S.A.S.,14800000.0,2024-07-23,2024.0
PSS S.A.,GUILLERMO DE JESUS GUTIERREZ CABALLERO,3990000.0,2022-11-04,2022.0
INSTITUTO UNIVERSITARIO DE LA PAZ,WORKSAIT SAS,360000000.0,2024-01-26,2024.0
